ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
mowd;;6:16-cv-03141,mowd,2016,6:16-cv-03141,7,04/19/2016,"/19/16 by District Judge M. Douglas Harpool. (View, Pat) (",107,165,/19/16 by District Judge,M. Douglas Harpool,". (View, Pat) (",132,150,line_entry,SPACY JNLP2
mowd;;6:16-cv-03141,mowd,2016,6:16-cv-03141,10,04/21/2016,"/21/2016 by District Judge M. Douglas Harpool. (Hance, Breanna) (",409,474,/21/2016 by District Judge,M. Douglas Harpool,". (Hance, Breanna) (",436,454,line_entry,SPACY JNLP2
mowd;;4:16-cv-00676,mowd,2016,4:16-cv-00676,3,06/24/2016,"24/16 by Chief District Judge Greg Kays. (Francis, Alexandra) Modified",168,238,24/16 by Chief District Judge,Greg Kays,". (Francis, Alexandra) Modified",198,207,line_entry,SPACY JNLP2
mowd;;4:16-cv-00676,mowd,2016,4:16-cv-00676,5,07/13/2016,"13, 2016 by Chief District Judge Greg Kays. (Thoennes, Cindy) (",156,219,"13, 2016 by Chief District Judge",Greg Kays,". (Thoennes, Cindy) (",189,198,line_entry,SPACY JNLP2
mowd;;4:16-cv-00676,mowd,2016,4:16-cv-00676,7,08/12/2016,", 2016, by Chief District Judge Greg Kays. This is a TEXT ONLY ENTRY",113,181,", 2016, by Chief District Judge",Greg Kays,. This is a TEXT ONLY ENTRY,145,154,line_entry,SPACY JNLP2
mowd;;4:16-cv-00676,mowd,2016,4:16-cv-00676,8,10/12/2016,"12, 2016 by Chief District Judge Greg Kays. (Thoennes, Cindy) (",349,412,"12, 2016 by Chief District Judge",Greg Kays,". (Thoennes, Cindy) (",382,391,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,1,06/14/2016,MAP assignment to United States Magistrate Judge Robert E. Larsen. (Attachments: # 1 MAP,170,258,MAP assignment to United States Magistrate Judge,Robert E. Larsen,. (Attachments: # 1 MAP,219,235,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,2,06/14/2016,CASE. Case reassigned to District Judge Stephen R. Bough for all further proceedings. District Judge,33,133,CASE. Case reassigned to District Judge,Stephen R. Bough,for all further proceedings. District Judge,73,89,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,2,06/14/2016,"for all further proceedings. District Judge Fernando J. Gaitan, Jr no longer assigned to case. This",90,189,for all further proceedings. District Judge,"Fernando J. Gaitan, Jr",no longer assigned to case. This,134,156,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,3,06/14/2016,City (SRB) before District Judge Stephen R. Bough. Signed on 6/14/,133,199,City (SRB) before District Judge,Stephen R. Bough,. Signed on 6/14/,166,182,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,3,06/14/2016,"/14/16 by District Judge Stephen R. Bough. (Diefenbach, Tracy) (",195,259,/14/16 by District Judge,Stephen R. Bough,". (Diefenbach, Tracy) (",220,236,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,4,06/15/2016,City (REL) before Magistrate Judge Robert E. Larsen. The following parties are required to,80,170,City (REL) before Magistrate Judge,Robert E. Larsen,. The following parties are required to,115,131,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,4,06/15/2016,"/15/16 by Magistrate Judge Robert E. Larsen. (Wilson, Carol) (",467,529,/15/16 by Magistrate Judge,Robert E. Larsen,". (Wilson, Carol) (",494,510,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,10,07/26/2016,Entry. Proceedings held before District Judge Stephen R. Bough: SCHEDULING CONFERENCE held on 7/,7,103,Entry. Proceedings held before District Judge,Stephen R. Bough,: SCHEDULING CONFERENCE held on 7/,53,69,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,11,07/26/2016,"/26/16 by District Judge Stephen R. Bough. (Diefenbach, Tracy) (",26,90,/26/16 by District Judge,Stephen R. Bough,". (Diefenbach, Tracy) (",51,67,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,12,07/26/2016,City (SRB) before District Judge Stephen R. Bough. Jury Trial set for 7/,151,223,City (SRB) before District Judge,Stephen R. Bough,. Jury Trial set for 7/,184,200,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,12,07/26/2016,City (SRB) before District Judge Stephen R. Bough. Signed on 7/26/,264,330,City (SRB) before District Judge,Stephen R. Bough,. Signed on 7/26/,297,313,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,12,07/26/2016,"/26/16 by District Judge Stephen R. Bough. (Diefenbach, Tracy) (",326,390,/26/16 by District Judge,Stephen R. Bough,". (Diefenbach, Tracy) (",351,367,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,13,08/05/2016,City (REL) before Magistrate Judge Robert E. Larsen. Confidential settlement statements due by noon,82,181,City (REL) before Magistrate Judge,Robert E. Larsen,. Confidential settlement statements due by noon,117,133,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,13,08/05/2016,"/5/16 by Magistrate Judge Robert E. Larsen. (Wilson, Carol) (",205,266,/5/16 by Magistrate Judge,Robert E. Larsen,". (Wilson, Carol) (",231,247,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,15,09/29/2016,Entry. Proceedings held before Magistrate Judge Robert E. Larsen: SETTLEMENT CONFERENCE held on 9/,7,105,Entry. Proceedings held before Magistrate Judge,Robert E. Larsen,: SETTLEMENT CONFERENCE held on 9/,55,71,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,21,01/23/2017,/23/17 by District Judge Stephen R. Bough. This is a TEXT ONLY ENTRY,495,563,/23/17 by District Judge,Stephen R. Bough,. This is a TEXT ONLY ENTRY,520,536,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,22,01/25/2017,"City (SRB) before District Judge Stephen R. Bough. (Diefenbach, Tracy) (",190,262,City (SRB) before District Judge,Stephen R. Bough,". (Diefenbach, Tracy) (",223,239,line_entry,SPACY JNLP2
mowd;;4:16-cv-00570,mowd,2016,4:16-cv-00570,23,02/08/2017,Entry. Proceedings held before District Judge Stephen R. Bough: SCHEDULING CONFERENCE held on 2/,7,103,Entry. Proceedings held before District Judge,Stephen R. Bough,: SCHEDULING CONFERENCE held on 2/,53,69,line_entry,SPACY JNLP2
