ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,2,09/26/2016,CIVIL MOTION PRACTICE. Signed by Judge Mark R. Hornak on 9/26/16.,15,80,CIVIL MOTION PRACTICE. Signed by Judge,Mark R. Hornak,on 9/26/16.,54,68,line_entry,SPACY JNLP2
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,6,11/21/2016,6/16. Signed by Judge Mark R. Hornak on 11/21/16.,116,165,6/16. Signed by Judge,Mark R. Hornak,on 11/21/16.,138,152,line_entry,SPACY JNLP2
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,13,12/09/2016,13/17. Signed by Judge Mark R. Hornak on 12/9/16.,247,296,13/17. Signed by Judge,Mark R. Hornak,on 12/9/16.,270,284,line_entry,SPACY JNLP2
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,16,12/12/2016,Pro Hac Vice. Signed by Judge Mark R. Hornak on 12/12/16.,54,111,Pro Hac Vice. Signed by Judge,Mark R. Hornak,on 12/12/16.,84,98,line_entry,SPACY JNLP2
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,17,12/12/2016,Pro Hac Vice. Signed by Judge Mark R. Hornak on 12/12/16.,58,115,Pro Hac Vice. Signed by Judge,Mark R. Hornak,on 12/12/16.,88,102,line_entry,SPACY JNLP2
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,19,01/13/2017,all relevant matters. Signed by Judge Mark R. Hornak on 01/17/2017.,2206,2273,all relevant matters. Signed by Judge,Mark R. Hornak,on 01/17/2017.,2244,2258,line_entry,SPACY JNLP2
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,21,03/06/2017,of the stay. Signed by Judge Mark R. Hornak on 3/6/17.,728,782,of the stay. Signed by Judge,Mark R. Hornak,on 3/6/17.,757,771,line_entry,SPACY JNLP2
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,26,04/03/2017,Murphey is terminated. Signed by Judge Mark R. Hornak on 4/3/17.,70,134,Murphey is terminated. Signed by Judge,Mark R. Hornak,on 4/3/17.,109,123,line_entry,SPACY JNLP2
pawd;;2:16-cv-01462,pawd,2016,2:16-cv-01462,28,06/20/2017,Dismissal with Prejudice. Signed by Judge Mark R. Hornak on 6/20/17.,34,102,Dismissal with Prejudice. Signed by Judge,Mark R. Hornak,on 6/20/17.,76,90,line_entry,SPACY JNLP2
pawd;;2:16-cv-00500,pawd,2016,2:16-cv-00500,5,06/28/2016,will be stricken. Signed by Judge Donetta W. Ambrose on 6/28/2016.,259,325,will be stricken. Signed by Judge,Donetta W. Ambrose,on 6/28/2016.,293,311,line_entry,SPACY JNLP2
pawd;;2:16-cv-00500,pawd,2016,2:16-cv-00500,10,03/16/2017,for Summary Judgment. Signed by Judge Donetta W. Ambrose on 3/16/17.,75,143,for Summary Judgment. Signed by Judge,Donetta W. Ambrose,on 3/16/17.,113,131,line_entry,SPACY JNLP2
pawd;;2:16-cv-00500,pawd,2016,2:16-cv-00500,11,03/16/2017,be marked closed. Signed by Judge Donetta W. Ambrose on 3/16/17.,97,161,be marked closed. Signed by Judge,Donetta W. Ambrose,on 3/16/17.,131,149,line_entry,SPACY JNLP2
pawd;;2:16-cv-00203,pawd,2016,2:16-cv-00203,17,11/02/2016,"7, 2016. Signed by Judge Mark R. Hornak on 11/2/16.",324,375,"7, 2016. Signed by Judge",Mark R. Hornak,on 11/2/16.,349,363,line_entry,SPACY JNLP2
pawd;;2:16-cv-00203,pawd,2016,2:16-cv-00203,20,12/09/2016,MEMORANDUM OPINION. Signed by Judge Mark R. Hornak on 12/9/16.,0,62,MEMORANDUM OPINION. Signed by Judge,Mark R. Hornak,on 12/9/16.,36,50,line_entry,SPACY JNLP2
pawd;;2:16-cv-00203,pawd,2016,2:16-cv-00203,21,12/09/2016,this CASE CLOSED. Signed by Judge Mark R. Hornak on 12/9/16.,503,563,this CASE CLOSED. Signed by Judge,Mark R. Hornak,on 12/9/16.,537,551,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,10,08/30/2016,10:00 a.m. Signed by Judge Kim R. Gibson on 8/30/2016.,186,240,10:00 a.m. Signed by Judge,Kim R. Gibson,on 8/30/2016.,213,226,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,14,09/07/2016,10:00 a.m. Signed by Judge Kim R. Gibson on 9/7/2016.,136,189,10:00 a.m. Signed by Judge,Kim R. Gibson,on 9/7/2016.,163,176,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,15,09/15/2016,Minute Entry for proceedings held before Judge Kim R. Gibson: A hearing was held on Plaintiff,0,93,Minute Entry for proceedings held before Judge,Kim R. Gibson,: A hearing was held on Plaintiff,47,60,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,16,09/15/2016,Order of Court. Signed by Judge Kim R. Gibson on 9/15/2016.,127,186,Order of Court. Signed by Judge,Kim R. Gibson,on 9/15/2016.,159,172,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,18,09/16/2016,STIPULATED CONSENT ORDER. Signed by Judge Kim R. Gibson on 9/16/2016.,0,69,STIPULATED CONSENT ORDER. Signed by Judge,Kim R. Gibson,on 9/16/2016.,42,55,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,24,10/26/2016,Minute Entry for proceedings held before Judge Kim R. Gibson: An Initial Rule 16 Scheduling Conference,0,102,Minute Entry for proceedings held before Judge,Kim R. Gibson,: An Initial Rule 16 Scheduling Conference,47,60,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,24,10/26/2016,Court indicated it would assign Magistrate Judge Pesto as the mediator. A discussion was,847,935,Court indicated it would assign Magistrate Judge,Pesto,as the mediator. A discussion was,896,901,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,25,10/26/2016,"at 10:00 AM before Judge Kim R. Gibson, and as more fully stated in",262,329,at 10:00 AM before Judge,Kim R. Gibson,", and as more fully stated in",287,300,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,25,10/26/2016,Initial Scheduling Order. Signed by Judge Kim R. Gibson on 10/25/2016.,335,405,Initial Scheduling Order. Signed by Judge,Kim R. Gibson,on 10/25/2016.,377,390,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,26,10/26/2016,DISPUTE RESOLUTION - Mediation. Magistrate Judge Keith A. Pesto added as Mediator. The Mediation Conference,36,143,DISPUTE RESOLUTION - Mediation. Magistrate Judge,Keith A. Pesto,added as Mediator. The Mediation Conference,85,99,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,26,10/26/2016,Case to ADR. Signed by Judge Kim R. Gibson on 10/26/2016.,265,322,Case to ADR. Signed by Judge,Kim R. Gibson,on 10/26/2016.,294,307,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,30,02/27/2017,at 9:30 AM before Judge Kim R. Gibson. Text-only entry; no,109,167,at 9:30 AM before Judge,Kim R. Gibson,. Text-only entry; no,133,146,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,35,04/19/2017,completion of the mediation before Magistrate Judge Keith A. Pesto is extended to 6/30/,84,171,completion of the mediation before Magistrate Judge,Keith A. Pesto,is extended to 6/30/,136,150,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,35,04/19/2017,10:00 a.m. Signed by Judge Kim R. Gibson on 4/19/2017.,943,997,10:00 a.m. Signed by Judge,Kim R. Gibson,on 4/19/2017.,970,983,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,41,07/13/2017,Opinion and Order. Signed by Judge Kim R. Gibson on 7/13/2017.,693,755,Opinion and Order. Signed by Judge,Kim R. Gibson,on 7/13/2017.,728,741,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,46,09/22/2017,"before U.S. Magistrate Judge Keith A. Pesto, Penn Traffic Building, 319 Washington",70,152,before U.S. Magistrate Judge,Keith A. Pesto,", Penn Traffic Building, 319 Washington",99,113,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,47,09/25/2017,completion of the mediation before Magistrate Judge Keith A. Pesto is extended to 9/29/,155,242,completion of the mediation before Magistrate Judge,Keith A. Pesto,is extended to 9/29/,207,221,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,47,09/25/2017,10:00 a.m. Signed by Judge Kim R. Gibson on 9/25/2017.,907,961,10:00 a.m. Signed by Judge,Kim R. Gibson,on 9/25/2017.,934,947,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,48,09/26/2017,Entry for proceedings held before Magistrate Judge Keith A. Pesto: Settlement Conference held on 9/,7,106,Entry for proceedings held before Magistrate Judge,Keith A. Pesto,: Settlement Conference held on 9/,58,72,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,50,11/20/2017,in said Order. Signed by Judge Kim R. Gibson on 11/17/2017.,296,355,in said Order. Signed by Judge,Kim R. Gibson,on 11/17/2017.,327,340,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,55,02/08/2018,Minute Entry for proceedings held before Judge Kim R. Gibson: A Post-Discovery Status Conference,0,96,Minute Entry for proceedings held before Judge,Kim R. Gibson,: A Post-Discovery Status Conference,47,60,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,57,02/09/2018,in said Order. Signed by Judge Kim R. Gibson on 2/9/2018.,78,135,in said Order. Signed by Judge,Kim R. Gibson,on 2/9/2018.,109,122,line_entry,SPACY JNLP2
pawd;;3:16-cv-00178,pawd,2016,3:16-cv-00178,62,02/16/2018,", without prejudice. Signed by Judge Kim R. Gibson on 2/16/2018.",282,346,", without prejudice. Signed by Judge",Kim R. Gibson,on 2/16/2018.,319,332,line_entry,SPACY JNLP2
